Country,Totally trust,Tend to trust,Tend not to trust,Do not trust at all,DKNA,Total 'Trust',Total 'Do not trust'
UE29,0.15,0.55,0.14,0.06,0.10,0.70,0.20
BE,0.21,0.59,0.09,0.06,0.05,0.80,0.15
BG,0.10,0.49,0.15,0.08,0.18,0.59,0.23
CZ,0.08,0.59,0.17,0.03,0.13,0.67,0.20
DK,0.29,0.55,0.06,0.02,0.08,0.84,0.08
DE,0.19,0.56,0.17,0.04,0.04,0.75,0.21
EE,0.17,0.63,0.08,0.00,0.12,0.80,0.08
IE,0.19,0.66,0.05,0.03,0.07,0.85,0.08
EL,0.10,0.47,0.20,0.11,0.12,0.57,0.31
ES,0.24,0.50,0.15,0.05,0.06,0.74,0.20
FR,0.15,0.61,0.10,0.08,0.06,0.76,0.18
HR,0.11,0.58,0.16,0.05,0.10,0.69,0.21
IT,0.09,0.48,0.23,0.07,0.13,0.57,0.30
CY,0.17,0.52,0.11,0.07,0.13,0.69,0.18
LV,0.13,0.62,0.13,0.02,0.10,0.75,0.15
LT,0.11,0.56,0.11,0.03,0.19,0.67,0.14
LU,0.18,0.66,0.07,0.04,0.05,0.84,0.11
HU,0.08,0.42,0.21,0.04,0.25,0.50,0.25
MT,0.09,0.45,0.11,0.03,0.32,0.54,0.14
NL,0.23,0.60,0.07,0.02,0.08,0.83,0.09
AT,0.18,0.61,0.14,0.03,0.04,0.79,0.17
PL,0.06,0.57,0.18,0.04,0.15,0.63,0.22
PT,0.20,0.58,0.06,0.03,0.13,0.78,0.09
RO,0.18,0.48,0.12,0.07,0.15,0.66,0.19
SI,0.15,0.60,0.16,0.02,0.07,0.75,0.18
SK,0.10,0.57,0.19,0.04,0.10,0.67,0.23
FI,0.20,0.71,0.03,0.00,0.06,0.91,0.03
SE,0.22,0.63,0.06,0.02,0.07,0.85,0.08
UK,0.12,0.57,0.10,0.06,0.15,0.69,0.16
