Country,Totally trust,Tend to trust,Tend not to trust,Do not trust at all,DKNA,Total 'Trust',Total 'Do not trust'
UE29,0.12,0.54,0.21,0.08,0.05,0.66,0.29
BE,0.19,0.57,0.16,0.05,0.03,0.76,0.21
BG,0.13,0.57,0.18,0.09,0.03,0.70,0.27
CZ,0.06,0.55,0.26,0.06,0.07,0.61,0.32
DK,0.23,0.62,0.07,0.02,0.06,0.85,0.09
DE,0.15,0.55,0.20,0.05,0.05,0.70,0.25
EE,0.13,0.66,0.11,0.02,0.08,0.79,0.13
IE,0.16,0.64,0.11,0.04,0.05,0.80,0.15
EL,0.06,0.34,0.29,0.28,0.03,0.40,0.57
ES,0.13,0.44,0.29,0.13,0.01,0.57,0.42
FR,0.10,0.53,0.20,0.12,0.05,0.63,0.32
HR,0.08,0.57,0.24,0.08,0.03,0.65,0.32
IT,0.10,0.46,0.31,0.10,0.03,0.56,0.41
CY,0.18,0.55,0.15,0.06,0.06,0.73,0.21
LV,0.10,0.60,0.21,0.04,0.05,0.70,0.25
LT,0.10,0.57,0.17,0.05,0.11,0.67,0.22
LU,0.12,0.67,0.13,0.06,0.02,0.79,0.19
HU,0.06,0.42,0.31,0.09,0.12,0.48,0.40
MT,0.14,0.53,0.15,0.03,0.15,0.67,0.18
NL,0.21,0.65,0.09,0.02,0.03,0.86,0.11
AT,0.11,0.64,0.17,0.04,0.04,0.75,0.21
PL,0.03,0.51,0.27,0.08,0.11,0.54,0.35
PT,0.17,0.66,0.10,0.04,0.03,0.83,0.14
RO,0.14,0.52,0.21,0.10,0.03,0.66,0.31
SI,0.08,0.61,0.22,0.05,0.04,0.69,0.27
SK,0.09,0.54,0.27,0.05,0.05,0.63,0.32
FI,0.17,0.73,0.05,0.01,0.04,0.90,0.06
SE,0.19,0.67,0.08,0.02,0.04,0.86,0.10
UK,0.09,0.64,0.14,0.06,0.07,0.73,0.20
