Country,Totally trust,Tend to trust,Tend not to trust,Do not trust at all,DKNA,Total 'Trust',Total 'Do not trust'
UE29,0.10,0.53,0.19,0.08,0.10,0.63,0.27
BE,0.16,0.55,0.15,0.07,0.07,0.71,0.22
BG,0.04,0.39,0.26,0.15,0.16,0.43,0.41
CZ,0.06,0.49,0.26,0.04,0.15,0.55,0.30
DK,0.19,0.61,0.06,0.02,0.12,0.80,0.08
DE,0.15,0.55,0.20,0.05,0.05,0.70,0.25
EE,0.08,0.63,0.12,0.01,0.16,0.71,0.13
IE,0.12,0.61,0.11,0.06,0.10,0.73,0.17
EL,0.06,0.43,0.20,0.19,0.12,0.49,0.39
ES,0.15,0.50,0.22,0.08,0.05,0.65,0.30
FR,0.13,0.58,0.13,0.09,0.07,0.71,0.22
HR,0.03,0.50,0.26,0.08,0.13,0.53,0.34
IT,0.10,0.50,0.23,0.09,0.08,0.60,0.32
CY,0.12,0.47,0.12,0.09,0.20,0.59,0.21
LV,0.09,0.56,0.20,0.04,0.11,0.65,0.24
LT,0.06,0.47,0.15,0.06,0.26,0.53,0.21
LU,0.15,0.67,0.12,0.04,0.02,0.82,0.16
HU,0.05,0.28,0.24,0.09,0.34,0.33,0.33
MT,0.06,0.33,0.10,0.04,0.47,0.39,0.14
NL,0.19,0.62,0.08,0.02,0.09,0.81,0.10
AT,0.11,0.59,0.22,0.04,0.04,0.70,0.26
PL,0.04,0.51,0.23,0.07,0.15,0.55,0.30
PT,0.11,0.59,0.10,0.07,0.13,0.70,0.17
RO,0.09,0.36,0.19,0.12,0.24,0.45,0.31
SI,0.08,0.56,0.22,0.05,0.09,0.64,0.27
SK,0.04,0.49,0.27,0.07,0.13,0.53,0.34
FI,0.16,0.74,0.06,0.01,0.03,0.90,0.07
UK,0.04,0.52,0.18,0.12,0.14,0.56,0.30
SE,0.12,0.69,0.11,0.02,0.06,0.81,0.13
